func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal,3D_TC,3D_omegaC,3D_z,3D_omegaD,Parent_Ion_Mass,Charge,Weka_Feature(optional)
1,77,235.1445,0,17.5637,1945,1945,2,-1,1,1,791.415,2+,
1,90,236.1471,0,17.7905,305,305,2,-1,1,1,791.415,2+,
1,93,237.1701,0,17.9151,165,165,2,-1,1,1,791.415,2+,
1,114,243.1804,0,18.9737,131,131,2,-1,1,1,791.415,2+,
1,103,248.2002,0,18.215,1577,1577,2,-1,1,1,791.415,2+,
1,108,249.2032,0,18.7413,274,274,2,-1,1,1,791.415,2+,
1,75,250.0256,0,17.3781,3232,3232,2,-1,1,1,791.415,2+,
1,69,251.0332,0,17.2541,274,274,2,-1,1,1,791.415,2+,
1,127,251.1895,0,19.9359,560,560,2,-1,1,1,791.415,2+,
1,72,252.0245,0,17.3295,364,364,2,-1,1,1,791.415,2+,
1,100,263.0235,0,18.065,239,239,2,-1,1,1,791.415,2+,
1,120,272.1666,0,19.3566,324,324,2,-1,1,1,791.415,2+,
1,128,273.1694,0,20.0532,139,139,2,-1,1,1,791.415,2+,
1,107,275.9568,0,18.662,126,126,2,-1,1,1,791.415,2+,
1,126,281.1439,0,19.897,132,132,2,-1,1,1,791.415,2+,
1,289,283.307,0,32.8878,160,160,2,-1,1,1,791.415,2+,
1,136,284.1543,0,20.9444,147,147,2,-1,1,1,791.415,2+,
1,99,287.9879,0,18.0621,333,333,2,-1,1,1,791.415,2+,
1,116,289.0446,0,19.1334,549,549,2,-1,1,1,791.415,2+,
1,117,292.0462,0,19.1888,196,196,2,-1,1,1,791.415,2+,
1,188,294.2593,0,25.9577,242,242,2,-1,1,1,791.415,2+,
1,183,295.2454,0,25.4967,145,145,2,-1,1,1,791.415,2+,
1,154,296.1951,0,22.4441,248,248,2,-1,1,1,791.415,2+,
1,133,300.9793,0,20.3938,149,149,2,-1,1,1,791.415,2+,
1,146,301.1693,0,21.968,138,138,2,-1,1,1,791.415,2+,
1,101,306.0057,0,18.1772,150,150,2,-1,1,1,791.415,2+,
1,192,306.1935,0,26.0876,574,574,2,-1,1,1,791.415,2+,
1,119,307.0547,0,19.3359,10436,10436,2,-1,1,1,791.415,2+,
1,194,307.1871,0,26.1783,117,117,2,-1,1,1,791.415,2+,
1,118,308.0598,0,19.3175,1339,1339,2,-1,1,1,791.415,2+,
1,121,309.0546,0,19.4181,1409,1409,2,-1,1,1,791.415,2+,
1,312,309.3308,0,34.9353,128,128,2,-1,1,1,791.415,2+,
1,124,310.0534,0,19.6152,163,163,2,-1,1,1,791.415,2+,
1,109,311.0485,0,18.7904,356,356,2,-1,1,1,791.415,2+,
1,187,312.268,0,25.7546,256,256,2,-1,1,1,791.415,2+,
1,40,314.2081,0,16.5859,106,106,2,-1,1,1,791.415,2+,
1,184,314.2213,0,25.5069,204,204,2,-1,1,1,791.415,2+,
1,163,319.1012,0,23.9142,268,268,2,-1,1,1,791.415,2+,
1,257,323.2765,0,29.7046,142,142,2,-1,1,1,791.415,2+,
1,153,323.9621,0,22.4275,562,562,2,-1,1,1,791.415,2+,
1,157,324.199,0,22.989,286,286,2,-1,1,1,791.415,2+,
1,147,325.9631,0,22.0375,228,228,2,-1,1,1,791.415,2+,
1,140,333.9956,0,21.2016,136,136,2,-1,1,1,791.415,2+,
1,123,337.8873,0,19.5677,139,139,2,-1,1,1,791.415,2+,
1,266,340.2435,0,30.7891,345,345,2,-1,1,1,791.415,2+,
1,155,341.9777,0,22.7512,487,487,2,-1,1,1,791.415,2+,
1,222,343.2107,0,27.7393,161,161,2,-1,1,1,791.415,2+,
1,152,343.9739,0,22.3066,229,229,2,-1,1,1,791.415,2+,
1,203,344.246,0,26.759,204,204,2,-1,1,1,791.415,2+,
1,141,345.0097,0,21.3835,2921,2921,2,-1,1,1,791.415,2+,
1,209,345.2296,0,27.0421,452,452,2,-1,1,1,791.415,2+,
1,139,346.0126,0,21.165,392,392,2,-1,1,1,791.415,2+,
1,142,347.0047,0,21.4265,318,318,2,-1,1,1,791.415,2+,
1,158,348.0086,0,23.304,180,180,2,-1,1,1,791.415,2+,
1,149,349.0064,0,22.1015,291,291,2,-1,1,1,791.415,2+,
1,270,350.2733,0,31.271698,506,506,2,-1,1,1,791.415,2+,
1,84,351.8515,0,17.6178,315,315,2,-1,1,1,791.415,2+,
1,212,355.0869,0,27.1915,225,225,2,-1,1,1,791.415,2+,
1,284,355.2528,0,32.1333,123,123,2,-1,1,1,791.415,2+,
1,131,355.8993,0,20.2998,162,162,2,-1,1,1,791.415,2+,
1,291,357.305,0,33.0331,358,358,2,-1,1,1,791.415,2+,
1,177,360.0159,0,24.8188,193,193,2,-1,1,1,791.415,2+,
1,151,361.9238,0,22.1816,207,207,2,-1,1,1,791.415,2+,
1,193,362.0327,0,26.1382,159,159,2,-1,1,1,791.415,2+,
1,234,362.2591,0,28.8261,2052,2052,2,-1,1,1,791.415,2+,
1,235,363.2631,0,28.8639,385,385,2,-1,1,1,791.415,2+,
1,190,363.9895,0,26.0643,210,210,2,-1,1,1,791.415,2+,
1,295,364.2955,0,33.5711,158,158,2,-1,1,1,791.415,2+,
1,132,367.8964,0,20.3442,145,145,2,-1,1,1,791.415,2+,
1,87,369.8496,0,17.7112,119,119,2,-1,1,1,791.415,2+,
1,80,369.8871,0,17.5842,178,178,2,-1,1,1,791.415,2+,
1,210,374.0294,0,27.1156,142,142,2,-1,1,1,791.415,2+,
1,137,377.9634,0,21.0169,184,184,2,-1,1,1,791.415,2+,
1,316,378.2714,0,35.2723,149,149,2,-1,1,1,791.415,2+,
1,115,378.7958,0,19.0782,206,206,2,-1,1,1,791.415,2+,
1,202,379.0029,0,26.7448,479,479,2,-1,1,1,791.415,2+,
1,156,379.9357,0,22.7911,287,287,2,-1,1,1,791.415,2+,
1,294,380.256,0,33.4784,238,238,2,-1,1,1,791.415,2+,
1,198,380.9945,0,26.5164,1596,1596,2,-1,1,1,791.415,2+,
1,145,381.92,0,21.6585,134,134,2,-1,1,1,791.415,2+,
1,196,381.9968,0,26.3693,248,248,2,-1,1,1,791.415,2+,
1,199,382.9906,0,26.5837,967,967,2,-1,1,1,791.415,2+,
1,189,383.9928,0,26.0435,171,171,2,-1,1,1,791.415,2+,
1,204,384.9858,0,26.8233,426,426,2,-1,1,1,791.415,2+,
1,288,385.2651,0,32.6118,136,136,2,-1,1,1,791.415,2+,
1,226,385.9698,0,27.9292,143,143,2,-1,1,1,791.415,2+,
1,262,391.0629,0,30.0369,141,141,2,-1,1,1,791.415,2+,
1,42,394.0054,0,16.629,146,146,2,-1,1,1,791.415,2+,
1,215,394.0113,0,27.2581,139,139,2,-1,1,1,791.415,2+,
1,122,396.805,0,19.4211,190,190,2,-1,1,1,791.415,2+,
1,214,397.0157,0,27.2294,168,168,2,-1,1,1,791.415,2+,
1,208,399.0068,0,26.9989,630,630,2,-1,1,1,791.415,2+,
1,205,401.0093,0,26.8249,426,426,2,-1,1,1,791.415,2+,
1,211,402.9957,0,27.1315,175,175,2,-1,1,1,791.415,2+,
1,201,405.0418,0,26.6478,176,176,2,-1,1,1,791.415,2+,
1,318,407.2626,0,35.3727,596,596,2,-1,1,1,791.415,2+,
1,247,408.0224,0,29.281,177,177,2,-1,1,1,791.415,2+,
1,314,408.2567,0,35.0806,195,195,2,-1,1,1,791.415,2+,
1,281,409.072,0,31.921501,5336,5336,2,-1,1,1,791.415,2+,
1,280,410.0793,0,31.913002,781,781,2,-1,1,1,791.415,2+,
1,276,411.0673,0,31.834702,593,593,2,-1,1,1,791.415,2+,
1,162,415.9137,0,23.8971,2070,2070,2,-1,1,1,791.415,2+,
1,164,416.9146,0,24.0411,157,157,2,-1,1,1,791.415,2+,
1,261,416.9785,0,29.8932,573,573,2,-1,1,1,791.415,2+,
1,165,417.9154,0,24.0764,218,218,2,-1,1,1,791.415,2+,
1,255,418.9775,0,29.555,556,556,2,-1,1,1,791.415,2+,
1,244,419.968,0,29.1693,141,141,2,-1,1,1,791.415,2+,
1,258,420.9721,0,29.7246,534,534,2,-1,1,1,791.415,2+,
1,282,422.1905,0,31.938301,1484,1484,2,-1,1,1,791.415,2+,
1,403,422.3636,0,45.0394,338,338,2,-1,1,1,791.415,2+,
1,275,423.1965,0,31.8279,222,222,2,-1,1,1,791.415,2+,
1,330,423.2851,0,37.0449,229,229,2,-1,1,1,791.415,2+,
1,399,423.3616,0,44.8815,110,110,2,-1,1,1,791.415,2+,
1,185,428.9119,0,25.5819,287,287,2,-1,1,1,791.415,2+,
1,172,433.9267,0,24.3734,4302,4302,2,-1,1,1,791.415,2+,
1,166,434.9338,0,24.1105,324,324,2,-1,1,1,791.415,2+,
1,335,435.256,0,37.3167,1336,1336,2,-1,1,1,791.415,2+,
1,176,435.9275,0,24.6898,339,339,2,-1,1,1,791.415,2+,
1,336,436.2609,0,37.5377,358,358,2,-1,1,1,791.415,2+,
1,333,438.26,0,37.1666,272,272,2,-1,1,1,791.415,2+,
1,296,440.2037,0,33.5878,175,175,2,-1,1,1,791.415,2+,
1,47,441.0077,0,16.7963,140,140,2,-1,1,1,791.415,2+,
1,300,445.0574,0,33.7036,396,396,2,-1,1,1,791.415,2+,
1,37,445.9382,0,16.4986,268,268,2,-1,1,1,791.415,2+,
1,252,447.0321,0,29.3743,1775,1775,2,-1,1,1,791.415,2+,
1,372,451.3049,0,41.5915,265,265,2,-1,1,1,791.415,2+,
1,191,451.8988,0,26.0731,597,597,2,-1,1,1,791.415,2+,
1,416,453.3408,0,46.9758,141,141,2,-1,1,1,791.415,2+,
1,179,453.8767,0,25.1459,347,347,2,-1,1,1,791.415,2+,
1,273,454.9311,0,31.779602,1016,1016,2,-1,1,1,791.415,2+,
1,277,456.9229,0,31.8727,239,239,2,-1,1,1,791.415,2+,
1,287,458.9721,0,32.3002,159,159,2,-1,1,1,791.415,2+,
1,46,458.9888,0,16.795,144,144,2,-1,1,1,791.415,2+,
1,48,459.9807,0,16.8139,126,126,2,-1,1,1,791.415,2+,
1,112,461.7656,0,18.8535,123,123,2,-1,1,1,791.415,2+,
1,148,462.2253,0,22.0551,159,159,2,-1,1,1,791.415,2+,
1,431,463.3829,0,48.813,127,127,2,-1,1,1,791.415,2+,
1,43,463.9313,0,16.6667,213,213,2,-1,1,1,791.415,2+,
1,45,464.9291,0,16.7522,211,211,2,-1,1,1,791.415,2+,
1,286,465.0603,0,32.2862,120,120,2,-1,1,1,791.415,2+,
1,311,466.1092,0,34.8104,120,120,2,-1,1,1,791.415,2+,
1,52,469.5159,0,16.8949,1108,1108,2,-1,1,1,791.415,2+,
1,216,469.9164,0,27.266,140,140,2,-1,1,1,791.415,2+,
1,55,470.0184,0,16.9781,332,332,2,-1,1,1,791.415,2+,
1,57,470.5198,0,16.9922,307,307,2,-1,1,1,791.415,2+,
1,58,471.5154,0,16.9927,133,133,2,-1,1,1,791.415,2+,
1,170,471.888,0,24.2587,273,273,2,-1,1,1,791.415,2+,
1,224,472.9424,0,27.8843,1727,1727,2,-1,1,1,791.415,2+,
1,225,473.945,0,27.8974,287,287,2,-1,1,1,791.415,2+,
1,232,474.9425,0,28.7396,251,251,2,-1,1,1,791.415,2+,
1,219,476.9361,0,27.5248,222,222,2,-1,1,1,791.415,2+,
1,392,477.3057,0,44.1324,137,137,2,-1,1,1,791.415,2+,
1,56,479.0577,0,16.9814,265,265,2,-1,1,1,791.415,2+,
1,331,481.0401,0,37.1004,542,542,2,-1,1,1,791.415,2+,
1,332,482.0397,0,37.1411,166,166,2,-1,1,1,791.415,2+,
1,160,482.8253,0,23.4443,127,127,2,-1,1,1,791.415,2+,
1,299,483.0161,0,33.7032,329,329,2,-1,1,1,791.415,2+,
1,129,484.2427,0,20.1156,357,357,2,-1,1,1,791.415,2+,
1,125,484.7188,0,19.8641,151,151,2,-1,1,1,791.415,2+,
1,410,486.2739,0,45.6467,108,108,2,-1,1,1,791.415,2+,
1,414,487.3522,0,46.86,362,362,2,-1,1,1,791.415,2+,
1,65,487.5075,0,17.1852,1111,1111,2,-1,1,1,791.415,2+,
1,62,488.0076,0,17.0996,393,393,2,-1,1,1,791.415,2+,
1,60,488.504,0,17.0509,774,774,2,-1,1,1,791.415,2+,
1,195,488.9172,0,26.2914,125,125,2,-1,1,1,791.415,2+,
1,63,489.0054,0,17.1076,233,233,2,-1,1,1,791.415,2+,
1,61,489.5073,0,17.0924,229,229,2,-1,1,1,791.415,2+,
1,415,490.3389,0,46.9061,237,237,2,-1,1,1,791.415,2+,
1,236,490.9569,0,28.8892,2604,2604,2,-1,1,1,791.415,2+,
1,243,491.9543,0,29.1516,445,445,2,-1,1,1,791.415,2+,
1,239,492.9566,0,28.992,404,404,2,-1,1,1,791.415,2+,
1,138,493.775,0,21.1555,146,146,2,-1,1,1,791.415,2+,
1,242,494.9509,0,29.123,376,376,2,-1,1,1,791.415,2+,
1,315,497.0329,0,35.2702,386,386,2,-1,1,1,791.415,2+,
1,71,498.0326,0,17.2936,1392,1392,2,-1,1,1,791.415,2+,
1,73,498.5316,0,17.3316,383,383,2,-1,1,1,791.415,2+,
1,74,499.0288,0,17.3669,337,337,2,-1,1,1,791.415,2+,
1,340,499.0434,0,38.2953,12670,12670,2,-1,1,1,791.415,2+,
