func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,4,70.0671,0.0,16.1126,363,363.0
1,1,72.084,0.0,15.997799,155,155.0
1,5,83.0642,0.0,16.1275,785,785.0
1,3,84.0823,0.0,16.0872,265,265.0
1,47,84.9634,0.0,16.7005,4062,4062.0
1,15,86.1002,0.0,16.2582,844,844.0
1,2,93.0491,0.0,16.0364,453,453.0
1,10,95.0636,0.0,16.2077,205,205.0
1,28,98.9904,0.0,16.4966,2881,2881.0
1,56,102.9754,0.0,16.7681,174,174.0
1,8,110.0747,0.0,16.1697,9577,9577.0
1,7,111.0783,0.0,16.1574,749,749.0
1,92,130.8971,0.0,16.9783,133,133.0
1,12,131.9926,0.0,16.2226,247,247.0
1,21,132.0882,0.0,16.4035,218,218.0
1,73,134.9689,0.0,16.8463,2071,2071.0
1,77,136.9658,0.0,16.8542,724,724.0
1,9,138.0679,0.0,16.2016,223,223.0
1,124,140.9239,0.0,17.1344,1282,1282.0
1,99,141.9979,0.0,16.9965,154,154.0
1,35,144.9979,0.0,16.5813,5356,5356.0
1,26,145.9998,0.0,16.4717,197,197.0
1,18,150.9422,0.0,16.3047,2571,2571.0
1,16,151.9394,0.0,16.2733,167,167.0
1,19,152.9396,0.0,16.309,884,884.0
1,68,152.9829,0.0,16.8232,248,248.0
1,116,156.8953,0.0,17.0755,232,232.0
1,13,158.0962,0.0,16.2343,260,260.0
1,97,158.9346,0.0,16.9956,1597,1597.0
1,34,159.0258,0.0,16.5729,2356,2356.0
1,22,159.0975,0.0,16.4076,1865,1865.0
1,14,160.1027,0.0,16.2344,242,242.0
1,173,160.9053,0.0,17.6733,173,173.0
1,6,160.9706,0.0,16.1561,291,291.0
1,27,163.0109,0.0,16.4895,229,229.0
1,29,168.9537,0.0,16.523,297,297.0
1,121,170.9353,0.0,17.1156,1544,1544.0
1,55,171.0273,0.0,16.756,310,310.0
1,62,174.9091,0.0,16.7933,208,208.0
1,11,174.9981,0.0,16.213,359,359.0
1,24,175.126,0.0,16.4351,716,716.0
1,161,176.8993,0.0,17.5117,323,323.0
1,38,178.14,0.0,16.6267,5096,5096.0
1,43,179.1445,0.0,16.6599,658,658.0
1,229,184.8384,0.0,19.7255,400,400.0
1,84,185.9419,0.0,16.9221,159,159.0
1,233,186.8386,0.0,19.9771,643,643.0
1,125,186.9302,0.0,17.1399,2696,2696.0
1,240,188.8339,0.0,20.0974,262,262.0
1,71,191.8915,0.0,16.8338,146,146.0
1,60,192.8751,0.0,16.7806,126,126.0
1,212,194.8691,0.0,18.6453,1705,1705.0
1,110,195.004,0.0,17.0396,1905,1905.0
1,214,196.8653,0.0,18.7613,1187,1187.0
1,98,197.0016,0.0,16.9958,666,666.0
1,216,198.8634,0.0,18.8084,240,240.0
1,79,198.9448,0.0,16.8785,355,355.0
1,33,201.9184,0.0,16.5719,489,489.0
1,51,202.9042,0.0,16.7307,568,568.0
1,190,204.8956,0.0,17.9796,12200,12200.0
1,69,205.0325,0.0,16.8264,644,644.0
1,178,205.9014,0.0,17.828,351,351.0
1,197,206.1372,0.0,18.1483,519,519.0
1,183,206.8949,0.0,17.9534,4719,4719.0
1,175,207.0021,0.0,17.7601,177,177.0
1,194,207.8988,0.0,18.0892,158,158.0
1,181,208.8916,0.0,17.9175,926,926.0
1,205,210.8922,0.0,18.3168,473,473.0
1,23,210.9781,0.0,16.4216,300,300.0
1,210,212.8811,0.0,18.5182,494,494.0
1,20,212.973,0.0,16.382,165,165.0
1,164,214.9185,0.0,17.5486,36028,36028.0
1,138,215.0683,0.0,17.2741,614,614.0
1,143,215.1239,0.0,17.3682,214,214.0
1,159,215.9319,0.0,17.493,2480,2480.0
1,123,216.1101,0.0,17.1268,303,303.0
1,160,216.927,0.0,17.4965,1784,1784.0
1,151,217.0327,0.0,17.4037,248,248.0
1,146,217.9243,0.0,17.3771,270,270.0
1,166,218.919,0.0,17.5841,3482,3482.0
1,120,219.9261,0.0,17.0972,205,205.0
1,101,220.8708,0.0,17.0053,823,823.0
1,171,220.9221,0.0,17.6537,329,329.0
1,186,222.91,0.0,17.9623,2819,2819.0
1,218,223.1617,0.0,18.8569,13429,13429.0
1,215,224.1669,0.0,18.7868,2254,2254.0
1,196,224.9067,0.0,18.1268,849,849.0
1,219,225.1725,0.0,18.8691,213,213.0
