func,3D_ID,3D_m_z,3D_RetTime,3D_Mobility,3D_Intensity,3D_m_z_uncal
1,11,100.0782,0.0,16.6265,384,384.0
1,4,103.0576,0.0,16.456,537,537.0
1,12,107.0543,0.0,16.6607,634,634.0
1,9,109.0676,0.0,16.5967,216,216.0
1,16,110.074,0.0,16.7897,55764,55764.0
1,10,110.1758,0.0,16.6097,7025,7025.0
1,3,110.2249,0.0,16.383,612,612.0
1,7,110.2945,0.0,16.5311,1133,1133.0
1,5,110.3273,0.0,16.5247,6848,6848.0
1,2,110.3598,0.0,16.3634,5097,5097.0
1,14,110.5241,0.0,16.737,334,334.0
1,13,110.6142,0.0,16.7154,328,328.0
1,6,110.7534,0.0,16.5299,449,449.0
1,19,110.8448,0.0,17.0036,252,252.0
1,15,111.0763,0.0,16.7821,9152,9152.0
1,17,112.0917,0.0,16.9684,2384,2384.0
1,18,113.0755,0.0,16.9882,2747,2747.0
1,21,114.104,0.0,17.0655,207,207.0
1,29,115.0542,0.0,17.5212,265,265.0
1,28,115.0903,0.0,17.4176,3770,3770.0
1,31,115.1291,0.0,17.6437,197,197.0
1,25,116.0742,0.0,17.3274,3637,3637.0
1,26,117.0792,0.0,17.381,210,210.0
1,22,118.0702,0.0,17.08,290,290.0
1,8,119.0545,0.0,16.5549,1416,1416.0
1,35,120.0825,0.0,18.1841,12419,12419.0
1,1,121.047,0.0,16.3592,254,254.0
1,34,121.0883,0.0,18.1026,1187,1187.0
1,27,122.0762,0.0,17.4093,1400,1400.0
1,23,123.0587,0.0,17.241,280,280.0
1,30,124.0905,0.0,17.5765,259,259.0
1,24,125.0757,0.0,17.2415,568,568.0
1,39,125.1112,0.0,18.3535,831,831.0
1,42,129.1056,0.0,18.5057,718,718.0
1,20,131.0554,0.0,17.0502,565,565.0
1,40,133.0653,0.0,18.4671,3163,3163.0
1,37,134.0721,0.0,18.2877,289,289.0
1,32,135.0745,0.0,17.8929,342,342.0
1,52,136.0779,0.0,19.7726,14150,14150.0
1,50,137.0831,0.0,19.6302,1416,1416.0
1,43,138.0702,0.0,18.6353,1437,1437.0
1,33,139.1008,0.0,18.0377,501,501.0
1,69,140.0863,0.0,23.2392,1707,1707.0
1,47,141.109,0.0,19.0408,186,186.0
1,46,142.1007,0.0,18.9274,230,230.0
1,38,143.0455,0.0,18.3309,165,165.0
1,41,143.0873,0.0,18.4939,190,190.0
1,61,148.0553,0.0,20.6529,304,304.0
1,58,148.0811,0.0,20.4548,398,398.0
1,45,149.0627,0.0,18.9185,445,445.0
1,36,150.06,0.0,18.188,1237,1237.0
1,49,152.0927,0.0,19.4066,771,771.0
1,44,153.0701,0.0,18.8667,682,682.0
1,59,154.1135,0.0,20.4775,236,236.0
1,48,155.0977,0.0,19.0985,527,527.0
1,53,156.0816,0.0,19.9179,2086,2086.0
1,60,157.1131,0.0,20.5312,655,655.0
1,56,158.0609,0.0,20.3356,369,369.0
1,54,158.0993,0.0,20.1661,147,147.0
1,57,162.1068,0.0,20.3849,362,362.0
1,66,164.1238,0.0,21.5002,439,439.0
1,55,165.0801,0.0,20.3247,160,160.0
1,65,166.0652,0.0,21.2167,1793,1793.0
1,75,166.0916,0.0,24.1404,3904,3904.0
1,67,167.0951,0.0,22.4393,673,673.0
1,64,168.0807,0.0,20.9163,207,207.0
1,63,169.1016,0.0,20.8298,318,318.0
1,70,169.139,0.0,23.2681,439,439.0
1,62,170.0976,0.0,20.783,461,461.0
1,68,175.1228,0.0,22.489,143,143.0
1,79,178.1387,0.0,25.022,578,578.0
1,71,180.0921,0.0,23.5968,4884,4884.0
1,74,181.097,0.0,24.0175,469,469.0
1,72,184.112,0.0,23.7271,293,293.0
1,76,185.1037,0.0,24.4606,1479,1479.0
1,81,187.1006,0.0,25.3571,174,174.0
1,92,190.1379,0.0,28.3207,1770,1770.0
1,86,191.1379,0.0,27.2199,333,333.0
1,78,192.0815,0.0,24.9243,508,508.0
1,107,192.1536,0.0,31.646202,115,115.0
1,80,194.0962,0.0,25.2114,554,554.0
1,94,194.1365,0.0,28.7438,184,184.0
1,77,195.0848,0.0,24.7867,2275,2275.0
1,73,196.0737,0.0,23.7635,597,597.0
1,88,196.1485,0.0,27.6152,255,255.0
1,101,197.1323,0.0,30.557,242,242.0
1,99,201.1437,0.0,30.0861,520,520.0
1,106,205.1498,0.0,31.506401,275,275.0
1,96,207.0922,0.0,29.1018,190,190.0
1,105,207.1642,0.0,31.409698,2208,2208.0
1,104,208.165,0.0,31.189499,303,303.0
1,93,209.1073,0.0,28.4354,476,476.0
1,84,210.0928,0.0,26.7388,1053,1053.0
1,97,211.1225,0.0,29.3529,851,851.0
1,150,211.1597,0.0,35.1979,1614,1614.0
1,98,212.1082,0.0,29.7707,2906,2906.0
1,152,212.1657,0.0,35.259,191,191.0
1,90,213.0916,0.0,28.0465,3481,3481.0
1,87,214.0971,0.0,27.4418,302,302.0
1,110,217.1383,0.0,31.791801,4381,4381.0
1,114,218.1409,0.0,32.2224,599,599.0
1,134,219.1483,0.0,33.3485,164,164.0
1,133,220.0765,0.0,33.252,1393,1393.0
1,117,221.0795,0.0,32.5043,173,173.0
1,123,221.1442,0.0,32.7694,144,144.0
1,151,223.1601,0.0,35.2357,2463,2463.0
1,272,223.1602,0.0,44.1703,727,727.0
1,146,224.1668,0.0,34.7968,304,304.0
1,129,225.1024,0.0,32.9333,226,226.0
1,162,225.1771,0.0,36.5786,162,162.0
1,51,226.6194,0.0,19.7008,149,149.0
1,120,227.1191,0.0,32.6124,3938,3938.0
1,119,228.123,0.0,32.5867,452,452.0
1,179,228.1874,0.0,38.2532,1215,1215.0
1,121,229.1345,0.0,32.6828,1378,1378.0
1,112,230.1194,0.0,32.0511,3073,3073.0
1,111,231.1193,0.0,31.9287,334,334.0
1,185,231.1553,0.0,39.0398,435,435.0
1,143,232.1234,0.0,33.9503,200,200.0
1,169,232.1414,0.0,37.0555,186,186.0
1,184,233.146,0.0,38.8893,439,439.0
1,222,234.1291,0.0,41.5254,2203,2203.0
1,154,235.1223,0.0,35.5093,13782,13782.0
1,153,236.1255,0.0,35.4575,2170,2170.0
1,176,237.1045,0.0,38.0657,1575,1575.0
1,124,238.0894,0.0,32.8039,674,674.0
1,198,238.1647,0.0,40.0849,134,134.0
1,172,239.1582,0.0,37.3966,903,903.0
1,202,240.185,0.0,40.2009,140,140.0
1,156,243.1145,0.0,35.6467,307,307.0
1,237,243.1553,0.0,42.1782,1069,1069.0
1,159,244.1458,0.0,36.0007,1482,1482.0
1,178,245.1368,0.0,38.1,833,833.0
1,180,246.138,0.0,38.3121,162,162.0
1,189,247.1636,0.0,39.2812,125,125.0
1,210,248.1515,0.0,40.6994,113,113.0
1,235,249.167,0.0,42.0227,1308,1308.0
1,195,250.1694,0.0,39.8187,261,261.0
1,229,251.1559,0.0,41.8504,2664,2664.0
1,231,252.1592,0.0,41.8816,466,466.0
1,167,253.1362,0.0,36.7961,1611,1611.0
1,85,253.6435,0.0,26.8432,530,530.0
1,170,254.1322,0.0,37.1159,870,870.0
1,83,254.1453,0.0,26.0872,149,149.0
1,164,255.1117,0.0,36.6902,27851,27851.0
1,394,255.1131,0.0,61.6506,138,138.0
1,165,255.2672,0.0,36.7058,167,167.0
1,166,256.1189,0.0,36.7483,4858,4858.0
1,243,256.1854,0.0,42.6122,623,623.0
1,171,257.1242,0.0,37.141,372,372.0
1,275,259.1608,0.0,44.8832,115,115.0
1,256,260.1862,0.0,43.4643,370,370.0
1,252,261.1674,0.0,43.2877,264,264.0
1,261,263.1437,0.0,43.5637,54972,54972.0
1,263,263.3026,0.0,43.6542,4494,4494.0
1,254,263.3816,0.0,43.3958,598,598.0
1,257,263.4836,0.0,43.5302,1191,1191.0
1,259,263.5328,0.0,43.5463,6596,6596.0
1,255,263.5884,0.0,43.4284,4465,4465.0
1,268,263.7502,0.0,43.8693,158,158.0
1,245,263.8455,0.0,42.7412,370,370.0
1,265,263.9804,0.0,43.7194,361,361.0
1,242,264.0575,0.0,42.5829,212,212.0
1,262,264.1476,0.0,43.6207,20255,20255.0
1,270,264.3202,0.0,43.9583,274,274.0
1,278,264.8559,0.0,45.0581,163,163.0
1,260,264.9915,0.0,43.5491,278,278.0
1,267,265.1547,0.0,43.7806,1902,1902.0
1,197,266.1578,0.0,39.9963,536,536.0
1,220,267.1558,0.0,41.4968,573,573.0
1,293,268.1804,0.0,46.3885,149,149.0
1,273,269.1688,0.0,44.7708,249,249.0
1,258,271.1496,0.0,43.5432,164,164.0
1,226,272.1413,0.0,41.6513,16665,16665.0
1,216,273.1453,0.0,41.3303,2337,2337.0
1,271,273.2159,0.0,44.1082,470,470.0
1,239,274.1425,0.0,42.2515,290,290.0
1,284,277.1601,0.0,45.5394,179,179.0
1,298,278.1966,0.0,46.8072,229,229.0
1,289,279.1538,0.0,46.0768,848,848.0
1,286,280.1576,0.0,45.94,178,178.0
1,309,281.1602,0.0,47.8682,121,121.0
1,299,283.1854,0.0,46.9617,254,254.0
1,301,284.1723,0.0,47.1749,763,763.0
1,303,285.1721,0.0,47.2736,154,154.0
1,294,289.1734,0.0,46.4703,356,356.0
1,279,290.156,0.0,45.059,465,465.0
1,302,291.1482,0.0,47.1981,331,331.0
1,317,292.1387,0.0,48.5658,179,179.0
1,300,293.1744,0.0,47.0762,493,493.0
1,281,294.1616,0.0,45.2843,320,320.0
1,82,296.1348,0.0,25.9868,121,121.0
1,89,297.6356,0.0,27.9924,123,123.0
1,126,299.6644,0.0,32.8246,967,967.0
1,138,300.1633,0.0,33.6776,346,346.0
1,354,303.2066,0.0,55.4372,135,135.0
1,91,304.1666,0.0,28.1866,319,319.0
1,137,304.1992,0.0,33.4465,222,222.0
1,157,304.6936,0.0,35.8891,264,264.0
1,95,306.1505,0.0,29.0169,294,294.0
1,329,308.1807,0.0,50.5456,637,637.0
1,343,309.1655,0.0,53.3582,1163,1163.0
1,337,310.1685,0.0,52.0499,258,258.0
1,125,310.1854,0.0,32.8211,696,696.0
1,140,310.6851,0.0,33.7768,162,162.0
1,314,311.1776,0.0,48.3665,4182,4182.0
1,316,312.1751,0.0,48.4755,893,893.0
1,144,312.1948,0.0,34.0435,106,106.0
1,163,313.2049,0.0,36.6009,1311,1311.0
1,103,313.659,0.0,30.8094,899,899.0
1,168,313.7069,0.0,36.9032,402,402.0
1,102,314.1632,0.0,30.5667,254,254.0
1,100,318.1671,0.0,30.2286,410,410.0
1,128,318.672,0.0,32.8619,110,110.0
1,326,319.1498,0.0,50.4053,162,162.0
1,108,319.1557,0.0,31.688698,1319,1319.0
1,435,320.2632,0.0,69.4096,132,132.0
1,186,321.201,0.0,39.1558,660,660.0
1,188,321.7049,0.0,39.2729,260,260.0
1,338,322.162,0.0,52.2642,562,562.0
1,347,323.1808,0.0,54.6725,454,454.0
1,149,323.6851,0.0,35.0588,102,102.0
1,142,324.1799,0.0,33.9051,106,106.0
1,376,325.2045,0.0,58.8739,161,161.0
1,349,326.1893,0.0,54.8597,5115,5115.0
1,358,327.1935,0.0,56.1287,851,851.0
1,355,328.2011,0.0,55.5728,186,186.0
1,341,329.1907,0.0,53.2755,2577,2577.0
1,321,330.1291,0.0,49.1545,250,250.0
1,109,330.168,0.0,31.7468,123,123.0
1,339,330.1981,0.0,53.1993,404,404.0
1,130,330.6845,0.0,32.9925,167,167.0
1,387,331.1892,0.0,60.398,266,266.0
1,350,335.1872,0.0,54.946,259,259.0
1,414,335.1942,0.0,65.672,723,723.0
1,174,335.1992,0.0,37.7238,764,764.0
1,175,335.6996,0.0,38.0229,333,333.0
1,161,336.1728,0.0,36.1921,188,188.0
1,373,336.1816,0.0,58.5839,749,749.0
1,346,337.1589,0.0,53.8575,3512,3512.0
1,345,338.164,0.0,53.6096,599,599.0
1,372,338.2041,0.0,58.5689,344,344.0
1,118,338.6834,0.0,32.5671,584,584.0
1,115,339.1828,0.0,32.4344,115,115.0
1,367,340.1714,0.0,57.1384,474,474.0
